,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Crown,Crown,Crown,Fruit Size,Fruit Size,Fruit Shape,Fruit Shape,Fruit Shape,Fruit Shape,Fruit Shape,Fruit Shape,Fruit Shape,Conspicuousness,Conspicuousness,Measurement,Measurement,Measurement,Measurement,Measurement,Measurement,Measurement,Measurement,Measurement,Measurement,Measurement,Measurement
Areca laosensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,6.0,4.0,12.0,1.26,1.19,0.09,7.5,7.0,8.0,5.5,5.0,6.0
Arenga australasica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,20.0,30.0,18.0,4.0,3.5,0.55,1.7,0.8,2.6,1.8,0.8,2.8
Astrocaryum acaule,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1.0,30.0,9.0,7.0,4.0,2.75,4.0,3.5,4.5,2.6,2.4,2.8
Astrocaryum aculeatum,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,20.0,25.0,15.0,8.4,6.4,2.1,5.5,4.5,6.5,4.0,3.5,4.5
Astrocaryum chambira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,30.0,40.0,16.0,9.0,5.5,3.25,7.0,6.0,8.0,4.75,4.5,5.0
Astrocaryum huaimi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,7.0,15.0,12.0,5.5,3.5,2.1,3.55,3.2,3.9,2.75,2.5,3.0
Astrocaryum jauari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,20.0,30.0,15.0,6.0,3.6,2.5,3.5,2.5,5.0,2.4,1.7,3.0
Astrocaryum javarense,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,4.0,18.0,16.0,5.7,4.4,1.35,5.1,3.5,6.7,1.6,2.2,3.0
Astrocaryum murumuru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,15.0,30.0,16.0,8.0,6.0,2.1,7.25,6.0,8.5,4.1,3.8,4.4
Astrocaryum paramaca,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,8.0,11.0,15.0,6.3,5.0,1.35,3.75,3.5,4.0,2.25,2.0,2.5
Astrocaryum sciophilum,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,12.0,20.0,14.0,7.7,5.2,2.6,6.75,6.5,7.0,3.25,2.5,4.0
Astrocaryum sociale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0.0,0.0,8.0,3.6,2.1,1.55,5.0,4.0,6.0,3.0,2.5,3.5
Astrocaryum standleyanum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,15.0,30.0,18.0,5.61,4.0,1.71,5.5,4.0,6.0,3.1,2.7,3.5
Astrocaryum vulgare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,15.0,20.0,16.0,7.5,5.0,2.6,4.25,3.5,5.0,3.2,2.5,3.7
Attalea butyracea,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,25.0,75.0,35.0,13.34,10.0,2.75,8.25,4.5,12.0,3.75,3.0,4.5
Attalea cohune,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,25.0,60.0,30.0,14.35,9.0,4.1,6.0,4.0,8.0,3.9,3.3,4.5
Attalea dahlgreniana,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,15.0,55.0,20.0,9.3,8.2,1.15,7.5,6.0,9.0,3.25,2.5,4.0
Attalea geraensis,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0.0,0.0,8.0,2.6,2.2,0.45,6.0,5.0,7.0,3.75,3.0,4.5
Attalea maripa,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,20.0,35.0,22.0,15.4,10.0,5.15,5.0,4.0,6.0,2.75,2.5,3.0
Attalea oleifera,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,30.0,45.0,30.0,11.8,9.8,2.1,9.0,7.0,11.0,5.0,4.0,6.0
Attalea phalerata,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,10.0,60.0,30.0,9.7,7.4,2.1,8.5,6.0,11.0,4.0,3.0,5.0
Attalea septuagenata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,12.0,30.0,20.0,10.5,9.0,1.55,10.75,10.0,11.5,5.5,5.0,6.0
Attalea speciosa,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,20.0,41.0,22.0,7.82,6.72,1.25,9.55,6.6,12.5,6.8,3.7,9.9
Attalea tessmannii,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,19.0,40.0,12.0,11.5,9.3,2.3,12.5,12.0,13.0,6.5,6.0,7.0
Attalea vitrivir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,20.0,50.0,20.0,8.7,7.5,1.25,12.0,10.0,14.0,5.0,4.0,6.0
Bactris dianeura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,5.0,3.0,7.0,1.65,1.25,0.45,1.5,1.2,1.8,1.4,1.2,1.6
Bactris gastoniana,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0.6,2.0,8.0,1.3,0.55,0.8,2.75,2.5,3.0,1.75,1.5,2.0
Bactris gracilior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,4.0,2.0,9.0,2.06,0.96,1.15,1.15,1.0,1.3,1.0,0.9,1.1
Bactris grayumii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,3.5,3.0,9.0,1.15,0.7,0.5,1.15,1.1,1.2,1.0,0.9,1.1
Bactris hirta,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,3.0,2.0,8.0,1.69,0.8,1.01,0.75,0.5,1.0,0.75,0.5,1.0
Bactris horridispatha,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,6.0,3.0,8.0,2.2,1.5,0.75,3.25,3.0,3.5,2.4,2.3,2.5
Bactris kunorum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,6.0,5.0,9.0,1.62,1.35,0.3,1.65,1.4,1.9,1.65,1.3,2.0
Bactris longiseta,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,4.5,2.5,7.0,2.2,1.35,0.97,1.55,1.5,1.6,1.55,1.5,1.6
Bactris macroacantha,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,4.0,4.0,6.0,2.3,1.5,0.92,2.85,2.5,3.2,2.15,2.0,2.3
Bactris major,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,10.0,6.0,10.0,3.3,1.8,1.55,3.5,2.5,4.5,2.4,1.3,3.5
Bactris oligocarpa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1.5,1.0,10.0,1.2,0.4,0.92,1.85,1.7,2.0,1.15,1.0,1.3
Bactris pilosa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,10.0,4.0,8.0,2.91,2.2,0.76,2.25,2.0,2.5,1.65,1.3,2.0
Bactris ptariana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,3.0,4.0,9.0,2.8,2.0,0.92,0.85,0.7,1.0,0.75,0.7,0.8
Bactris setosa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,6.0,4.0,5.0,3.01,1.91,1.15,1.25,1.0,1.5,1.75,1.5,2.0
Bactris setulosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,10.0,10.0,9.0,4.1,3.0,1.15,1.9,1.5,2.0,1.9,1.5,2.0
Bactris turbinocarpa,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1.7,2.5,13.0,1.61,1.04,0.62,3.0,2.5,3.5,1.75,1.5,2.0
Balaka seemannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,7.0,4.0,7.0,1.5,1.0,0.55,1.95,1.4,2.5,0.9,0.5,1.3
Balaka streptostachys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,7.0,10.0,10.0,3.0,2.55,0.5,2.15,1.8,2.5,1.1,0.8,1.4
Basselinia pancheri,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,15.0,10.0,9.0,1.55,1.3,0.28,0.7,0.6,0.8,0.75,0.6,0.9
Basselinia tomentosa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,20.0,25.0,10.0,1.0,0.7,0.33,0.75,0.7,0.8,0.55,0.5,0.6
Bismarckia nobilis,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,25.0,45.0,30.0,4.5,1.5,2.75,4.4,4.0,4.8,3.025,3.0,3.05
Borassus heineanus,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,25.0,60.0,59.0,2.4,3.0,2.5,13.5,12.0,15.0,9.0,8.0,10.0
Brahea sarukhanii,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,5.0,15.0,18.0,1.5,1.6,0.85,1.9,1.8,2.0,1.4,1.2,1.6
Brassiophoenix schumannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,10.0,5.0,9.0,3.22,3.0,0.24,3.1,2.61,3.5,1.8,1.7,1.9
Butia archeri,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1.0,20.0,12.0,1.0,0.8,0.22,1.9,1.8,2.0,1.4,1.5,1.6
Butia capitata,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,6.0,50.0,32.0,2.58,1.71,0.99,2.65,1.8,3.5,1.7,1.2,2.2
Butia paraguayensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,4.0,20.0,7.0,1.41,0.93,0.53,2.95,2.0,3.9,1.85,1.0,2.7
Butia yatay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,12.0,40.0,30.0,3.1,2.4,0.75,3.6,3.0,4.2,2.65,2.5,2.8
Calyptrogyne anomala,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0.5,5.0,16.0,1.16,0.7,0.51,1.08,0.98,1.22,0.53,0.48,0.6
Calyptrogyne ghiesbreghtiana,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,5.0,4.0,21.0,1.4,1.18,0.75,1.16,0.88,1.48,0.7,0.45,0.89
Calyptronoma occidentalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,12.0,29.0,10.0,4.3,3.0,1.35,1.28,0.98,1.58,0.72,0.59,0.85
Calyptronoma rivalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,15.0,30.0,14.0,5.0,4.0,0.95,0.58,0.46,0.7,0.41,0.36,0.46
Chamaedorea allenii,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,2.0,2.0,6.0,0.7,0.45,0.4,1.425,1.35,1.5,1.0,0.7,1.3
Chamaedorea angustisecta,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,4.0,3.0,8.0,2.56,1.56,0.95,1.55,1.3,1.8,0.65,0.5,0.8
Chamaedorea costaricana,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,8.0,6.0,6.0,2.0,1.25,0.8,1.25,1.2,1.3,0.85,0.7,1.0
Chamaedorea dammeriana,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1.0,0.8,15.0,0.5,0.3,0.22,1.15,0.8,1.5,0.75,0.5,1.0
Chamaedorea deckeriana,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2.0,3.0,5.0,0.7,0.35,0.4,1.25,1.0,1.5,0.75,0.5,1.0
Chamaedorea deneversiana,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,2.0,1.6,4.0,1.05,0.6,0.6,0.75,1.0,1.5,0.55,0.5,0.6
