Unnamed: 0,Species,Main Trait,SIM,Dataset,Sentence,Result,GT Sub Traits
14,Pericopsis laxiflora,tendril,Jacc,PlantNet,Definition: whole plant arborescent.,None of the above,['Plant without tendrils']
15,Swartzia madagascariensis,leaf apex,Bert,PlantNet,"Leaflets alternate, rarely opposite, 7 to 11, elliptic or obovate-elliptic, rarely oblong-elliptic, 2 to 10 cm.",Can infer correct Entity,"['Leaf apex with wide corners', 'Rounded leaf apex', 'Leaf apex emarginated']"
16,Grewia flavescens,leaf margin,Bert,PlantNet,Leaves 3-nerved from base.,Can infer correct Entity,['Margin of toothed leaf']
17,Hymenocardia acida,leaf margin,Bert,PlantNet,"Stipules linear-lanceolate to linear-filiform, 2 to 3 mm.",None of the above,['Smooth leaf margin']
18,Cassia sieberiana,leaf apex,Bert,PlantNet,"Leaflets in usually 4 to 12 pairs, petiolulate, elliptic to ovate-elliptic or sometimes obovate-elliptic, 3.5 to 9.5 cm.",Can infer correct Entity,"['Leaf apex sharp corner', 'Leaf apex with wide corners', 'Leaf apex emarginated']"
19,Capparis decidua,sexuality,Jacc,PlantNet,"Flowers are bisexual, bracteates, axillary or supra-axillary, solitary or in rows, in.racemes or umbels.",Can infer correct Value,['Axillary sexuality']
20,Lannea fruticosa,leaf apex,Bert,PlantNet,Petals oblong-elliptic 3 to 4 mm.,None of the above,"['Leaf apex sharp corner', 'Leaf apex with wide corners', 'Rounded leaf apex']"
21,Strychnos spinosa,petiole,Bert,PlantNet,"Leaves opposite, elliptic, oblong to ovate, 3-7-veined from the base, variably hairy or hairless.",Can infer correct Entity,['Petiolated leaf']
22,Keetia venosa,vein,Bert,PlantNet,"Leaves opposite, oblong-elliptic, 4.5-14 cm long, glossy dark green, mostly glabrous except for some hairs on the veins below, domatia present but inconspicuous, base usually rounded or very shallowly cordate, net-veining, perpendicular to the midrib, conspicuous on both surfaces.",Can infer correct Entity,['Pinnate venation with secondary veins connecting near the margin of the blade']
23,Rotula aquatica,plant type,Jacc,PlantNet,Takad is a shrub or bush that grows to a height of 2 to 3 meters.,Can infer correct Value,"['Shrub', 'Bush']"
24,Trema orientalis,petiole,Jacc,PlantNet,"Leaf margins are finely serrated, and the young leaves are rough and hairy, occasionally becoming smooth when old.",Can infer correct Entity,['Petiolated leaf']
25,Anogeissus leiocarpus,fruit,Jacc,PlantNet,The yellow to reddish-brown when ripe fruit is beaked short and contains only one seed.,Can infer correct Entity,['Winged fruit']
26,Crescentia cujete,inflorescences,Bert,PlantNet,"Green oblanceolate leaves, alternate arrangement, measuring about 4 - 26 cm long and 1 - 7.5 cm wide, subsessile, yellow tubular flowers with purple veins, solitary or sometimes paired and about 5 cm long, musty fragrance.",Can infer correct Value,"['Flower isolated or in groups of 2 or 3', 'Fascicle of flowers or inflorescences']"
27,Bridelia micrantha,leaf margin,Jacc,PlantNet,"The leaf shape is oval-lanceolate, which is covered with densely matted woolly hairs and deciduous.",Can infer correct Entity,"['Smooth leaf margin', 'Margin of the wavy leaf']"
28,Grewia bicolor,leaf shape,Bert,PlantNet,Leaves almost white beneath.,Can infer correct Entity,['Simple leaf']
29,Flacourtia indica,leaf base,Jacc,PlantNet,"The style branches are about one-third as long as the globose base,.",None of the above,"['Leaf base attenuated', 'Rounded leaf base']"
30,Swartzia madagascariensis,leaf apex,Bert,PlantNet,"Petal 1, white, crinkled, densely rusty-pilose outside, glabrous inside, clawed, 2 to 3.6 cm.",None of the above,"['Leaf apex with wide corners', 'Rounded leaf apex', 'Leaf apex emarginated']"
31,Grewia flavescens,leaf margin,Bert,PlantNet,Field tips Branchlets stellate-tomentose.,None of the above,['Margin of toothed leaf']
32,Hymenocardia acida,leaf margin,Bert,PlantNet,"Stipules 1 to 3 mm long, linear-lanceolate to filiform, pubescent, soon falling.",None of the above,['Smooth leaf margin']
33,Cassia sieberiana,leaf apex,Bert,PlantNet,"Petals yellow, 2 to 3.5 cm.",None of the above,"['Leaf apex sharp corner', 'Leaf apex with wide corners', 'Leaf apex emarginated']"
34,Lannea fruticosa,leaf apex,Bert,PlantNet,"Leaves clustered at the ends of the branchlets, 11 to 15-foliolate, rachis 15 to 26 cm.",Can infer correct Entity,"['Leaf apex sharp corner', 'Leaf apex with wide corners', 'Rounded leaf apex']"
35,Strychnos spinosa,petiole,Bert,PlantNet,"Fruits turning yellow, 60--90 mm diam.",None of the above,['Petiolated leaf']
36,Keetia venosa,vein,Bert,PlantNet,"Pyrene 6 to 7, 5 to 6 mm, hemispherical to suborbicular, with lid-like area lying across the apex with a small crest.",None of the above,['Pinnate venation with secondary veins connecting near the margin of the blade']
37,Rotula aquatica,plant type,Jacc,PlantNet,"Plant habit: small shrub, erect, purple branches, hard stem 02 inch base diameter, hairy, perennial.",Can infer correct Value,"['Shrub', 'Bush']"
38,Anogeissus leiocarpus,fruit,Jacc,PlantNet,"The roundish fruit is 4-10 mm, 6-11 mm, 2 to 2.5 millimeters in size and has two wings.",Can infer correct Value,['Winged fruit']
39,Crescentia cujete,inflorescences,Bert,PlantNet,Flower color: greenish white to greenish yellow with purple streaks.,Can infer correct Entity,"['Flower isolated or in groups of 2 or 3', 'Fascicle of flowers or inflorescences']"
40,Bridelia micrantha,leaf margin,Jacc,PlantNet,"The flowers are small, yellow, and grow in tightly packed fascicles from the leaf axils.",None of the above,"['Smooth leaf margin', 'Margin of the wavy leaf']"
41,Grewia bicolor,leaf shape,Bert,PlantNet,"Inflorescence a 3-flowered cyme, 1 to 3 in a leaf-axil, the axes greyish to brownish tomentellous, peduncle 4 to 13 mm long, pedicels 5 to 14 mm long, bracts ovate to lanceolate, 2 to 5 mm long.",None of the above,['Simple leaf']
42,Flacourtia indica,leaf base,Jacc,PlantNet,"Female flowers sometimes solitary, pedicels up to 5 mm, disk lobed, clasping the base of the ovary, styles spreading.",None of the above,"['Leaf base attenuated', 'Rounded leaf base']"
43,Swartzia madagascariensis,leaf apex,Bert,PlantNet,Leaves: petiole and rachis together,None of the above,"['Leaf apex with wide corners', 'Rounded leaf apex', 'Leaf apex emarginated']"
44,Grewia flavescens,leaf margin,Bert,PlantNet,"Leaves 9 x 4 cm, elliptic, stellately pubescent above, tomentose below, margins finely serrate, apex acute, base obtuse, truncate, transverse nerves parallel, somewhat broader above the middle, then abruptly acute, petiole to 0.5 cm, stipules to 1 cm, linear, pubescent.",Can infer correct Value,['Margin of toothed leaf']
45,Hymenocardia acida,leaf margin,Bert,PlantNet,"Leaves alternate, simple and entire, stipules 1 to 3 mm long, linear, soon falling, petiole 0.5 to 1.5 cm long, short-hairy, blade elliptical-ovate to oblong-oblanceolate, 2.5 to 9.5 cm, 1.5 to 5 cm, base rounded, apex rounded to obtuse, short-hairy to almost glabrous above, densely soft-hairy below or almost glabrous except main veins, sparingly to evenly yellowish gland-dotted.",Can infer correct Value,['Smooth leaf margin']
46,Cassia sieberiana,leaf apex,Bert,PlantNet,"Stamens 10, filaments of 3 lower each with an S-bend near base, without a swelling above.",None of the above,"['Leaf apex sharp corner', 'Leaf apex with wide corners', 'Leaf apex emarginated']"
47,Lannea fruticosa,leaf apex,Bert,PlantNet,Young parts with reddish floccose indumentum.,None of the above,"['Leaf apex sharp corner', 'Leaf apex with wide corners', 'Rounded leaf apex']"
48,Strychnos spinosa,petiole,Bert,PlantNet,"Flowers in terminal cymes, greenish-white, calyx lobes awl-shaped, 5 mm long.",None of the above,['Petiolated leaf']
49,Keetia venosa,vein,Bert,PlantNet,Often smaller almost round leaves are present at the base of lateral branchlets.,None of the above,['Pinnate venation with secondary veins connecting near the margin of the blade']
50,Crescentia cujete,inflorescences,Bert,PlantNet,Broadleaved Perennial Seed / spore propagated Shrub Tree Vegetatively propagated Woody.,None of the above,"['Flower isolated or in groups of 2 or 3', 'Fascicle of flowers or inflorescences']"
51,Bridelia micrantha,leaf margin,Jacc,PlantNet,"Flowers occur in clusters in leaf axils, yellow in colour, unisexual with triangular sepals and small petals.",None of the above,"['Smooth leaf margin', 'Margin of the wavy leaf']"
52,Grewia bicolor,leaf shape,Bert,PlantNet,Flower-buds oblong-ovoid.,None of the above,['Simple leaf']
53,Flacourtia indica,leaf base,Jacc,PlantNet,"Female flowers with a lobulate, fleshy, glabrous disk clasping the base of the ovary, ovary ovoid, glabrous, styles 4 to 8, 0.5 to 1.5 mm.",None of the above,"['Leaf base attenuated', 'Rounded leaf base']"
54,Swartzia madagascariensis,leaf apex,Bert,PlantNet,"Calyx globose and 6 to 7 mm in diameter before anthesis, then splitting for about half its length into 2 to 5 lobes and reflexing.",None of the above,"['Leaf apex with wide corners', 'Rounded leaf apex', 'Leaf apex emarginated']"
55,Grewia flavescens,leaf margin,Bert,PlantNet,"Leaves oblanceolate to obovate, light green with stellate hairs on both surfaces, margins irregularly toothed.",Can infer correct Value,['Margin of toothed leaf']
56,Hymenocardia acida,leaf margin,Bert,PlantNet,"Leaf-blades oblong, oblanceolate-oblong or obovate-oblong, rarely ± ovate, 5 to 7 cm.",Can infer correct Entity,['Smooth leaf margin']
57,Cassia sieberiana,leaf apex,Bert,PlantNet,Young branchlets rather densely pubescent.,None of the above,"['Leaf apex sharp corner', 'Leaf apex with wide corners', 'Leaf apex emarginated']"
58,Lannea fruticosa,leaf apex,Bert,PlantNet,Young parts with reddish floccose indumentum Provided by:.,None of the above,"['Leaf apex sharp corner', 'Leaf apex with wide corners', 'Rounded leaf apex']"
59,Strychnos spinosa,petiole,Bert,PlantNet,"Flowers borne on small lateral spur-branchlets or terminally, in small compact heads, creamy-green.",None of the above,['Petiolated leaf']
60,Keetia venosa,vein,Bert,PlantNet,"Corolla creamy-white, tube 2.25 to 3 mm long, with a ring of deflexed hairs just below the throat inside, lobes 1.5 to 2.25, 1 to 1.75 mm, lanceolate to ovate, acute.",None of the above,['Pinnate venation with secondary veins connecting near the margin of the blade']
61,Crescentia cujete,inflorescences,Bert,PlantNet,"Leaves are alternate, often fascicled at the nodes, oblanceolate,.",None of the above,"['Flower isolated or in groups of 2 or 3', 'Fascicle of flowers or inflorescences']"
62,Bridelia micrantha,leaf margin,Jacc,PlantNet,"Bark silver-grey, greenish grey, brown, dark grey or black, smooth or rough and reticulately fissured and flaking.",None of the above,"['Smooth leaf margin', 'Margin of the wavy leaf']"
63,Grewia bicolor,leaf shape,Bert,PlantNet,"Inflorescences all axillary, peduncles 5-10 mm long, brownish or grey tomentellous, pedicels similar, 2-3 together, 3-10 mm long, bracts similar to the stipules, about 4 mm long, caducous.",None of the above,['Simple leaf']
64,Flacourtia indica,leaf base,Jacc,PlantNet,"Disk lobulate, clasping the base of the ovoid ovary, styles 4 to 8, central, connate at the base, spreading, up to 1.5 mm long, stigmas truncate.",None of the above,"['Leaf base attenuated', 'Rounded leaf base']"
65,Swartzia madagascariensis,leaf apex,Bert,PlantNet,"Stamens probably 50 to 60, exceeded by the petal, somewhat unequal, yellow or orange.",None of the above,"['Leaf apex with wide corners', 'Rounded leaf apex', 'Leaf apex emarginated']"
66,Grewia flavescens,leaf margin,Bert,PlantNet,"Leaves broadlyelliptic, ovate, oblong, obovate or almost circular, 4.5 to 14.5 cm long, 2 to 11 cm wide, obtuse, acute or acuminate at the apex, rounded, truncate or slightly cordate at the base, usually scabrid above, roughly to softly densely pubescent beneath, sometimes ± tomentose, petiole 3 to 12 mm long, stipules 9 to 10 mm long.",Can infer correct Quality,['Margin of toothed leaf']
67,Hymenocardia acida,leaf margin,Bert,PlantNet,Petioles 0.2 to 1.6 cm long.,None of the above,['Smooth leaf margin']
68,Cassia sieberiana,leaf apex,Bert,PlantNet,"Pods cylindrical, 30 to 90 cm.",None of the above,"['Leaf apex sharp corner', 'Leaf apex with wide corners', 'Leaf apex emarginated']"
69,Mangifera indica,trunk and root,Jacc,PlantNet,"The floral disc is also four- or five-lobed, fleshy and large and located above the base of the petals.",None of the above,['Base of trunk straight']
70,Carissa edulis,flower shape,Jacc,PlantNet,Home » GENERA C » Carissa » Carissa edulis flower and leaves.,Can infer correct Entity,"['Five-petalled flower', 'Tubular flower']"
71,Acacia laeta,leaf shape,Jacc,PlantNet,"Leaf is 2,5 cm long, thereof 0,8 cm petiole.",Can infer correct Entity,['Bipinnate leaf']
72,Lannea humilis,leaf apex,Bert,PlantNet,"Calyx-lobes ovate, ± 1.5 mm.",None of the above,"['Leaf apex with wide corners', 'Rounded leaf apex']"
73,Opilia celtidifolia,flower shape,Bert,PlantNet,"Flowers small, 5-merous, sweet-scented.",Can infer correct Value,"['Five-petalled flower', 'Apetal flower']"
74,Cordia myxa,fruit,Jacc,PlantNet,"Fruit yellow, apricot or blackish, ovoid, 2 to 3.5 cm.",Can infer correct Entity,"['Drupe, or drupe-like fruit']"
75,Jatropha gossypiifolia,sexuality,Jacc,PlantNet,"Flowers are pedicellate, terminal and occur in corymbose cymes.",Can infer correct Value,['Terminal sexuality']
76,Commiphora pedunculata,leaf shape,Bert,PlantNet,"Leaves pinnate with leaflets 2 to 5-jugate, or very occasionally 3-foliolate, petiole up to 3 cm.",Can infer correct Quality,['Unipinnate leaf with opposite leaflets']
77,Mimosa pigra,leaf shape,Bert,PlantNet,The leaflets are elongated in shape and stalkless.,Can infer correct Entity,['Bipinnate leaf']
78,Ficus ingens,plant type,Jacc,PlantNet,Plant Type: Shrub.,Can infer correct Entity,"['Tree', 'Shrub']"
79,Euphorbia poissoni,flower shape,Bert,PlantNet,"Flowers: Short peduncled yellow/green or greenish with red stamens, 10-12 mm in diameter, bud trigonous, ornamented with 5 red glands.",Can infer correct Entity,['Apetal flower']
80,Acacia ataxacantha,leaf apex,Bert,PlantNet,Stamen-filaments 4.5 to 6 mm.,None of the above,['Leaf apex sharp corner']
81,Keetia cornelia,plant type,Jacc,PlantNet,Definitie: whole plant growth form.,Can infer correct Entity,"['Shrub', 'Bush', 'Liana']"
82,Psychotria psychotrioides,fruit,Jacc,PlantNet,"A glabrous shrub or small tree, 4-20 ft. high.",None of the above,"['Berry, or berry-like fruit']"
83,Landolphia heudelotii,latex,Jacc,PlantNet,"Mostly white flowers in terminal, dense or lax cymes.",None of the above,['White latex']
84,Lannea schimperi,leaf shape,Bert,PlantNet,"Leaves appearing after the flowers and fruits, alternate or crowded at the end of spur-shoots, 5 to 11-foliolate, rachis 8 to 33 cm.",Can infer correct Quality,['Unipinnate leaf with opposite leaflets']
85,Breonadia salicina,leaf shape,Jacc,PlantNet,The leaf shape is generally lanceolate and the leaf margin is entire.,Can infer correct Entity,['Simple leaf']
87,Lonchocarpus laxiflorus,spine,Jacc,PlantNet,Definition: whole plant arborescent.,None of the above,['Plant without spines']
88,Albizia lebbeck,leaf shape,Bert,PlantNet,"Leaves are Alternate, twice compound, with 2 to 6 pairs of pinnae, each pinna with 4 to 12 pairs of leaflets, leaflets elliptic-oblong, 2 to 4 cm long.",Can infer correct Value,['Bipinnate leaf']
89,Mangifera indica,trunk and root,Jacc,PlantNet,"Kochummen Trunk Mangifera indica, Trunk, bole and bark.",Can infer correct Entity,['Base of trunk straight']
90,Carissa edulis,flower shape,Jacc,PlantNet,"The fruit is a plum-like berry in the shape of a prolate spheroid, like that of a rugby ball.",None of the above,"['Five-petalled flower', 'Tubular flower']"
91,Lannea humilis,leaf apex,Bert,PlantNet,"Leaves 5 to 21-foliolate, scattered along the terminal twigs or ± crowded on the short floriferous lateral branches, petiole and rhachis 3 to 15 cm.",Can infer correct Entity,"['Leaf apex with wide corners', 'Rounded leaf apex']"
92,Opilia celtidifolia,flower shape,Bert,PlantNet,"Flowers 5-merous, yellowish-green, pedicels c. 2 mm.",Can infer correct Value,"['Five-petalled flower', 'Apetal flower']"
93,Cordia myxa,fruit,Jacc,PlantNet,Fruit up to 30 mm.,Can infer correct Entity,"['Drupe, or drupe-like fruit']"
94,Jatropha gossypiifolia,sexuality,Jacc,PlantNet,"Inflorescence: Common peduncle, terminal to 10 cm long, partial ones cymose dichotomous, lax, bracts linear-lanceolate, acute, up to 12 mm long, stipitate, gland-toothed, glabrous.",Can infer correct Value,['Terminal sexuality']
95,Commiphora pedunculata,leaf shape,Bert,PlantNet,"Filaments 3 and 2 mm., anthers 0.8 and 0.7 mm.",None of the above,['Unipinnate leaf with opposite leaflets']
96,Mimosa pigra,leaf shape,Bert,PlantNet,"The leaves are bright green and bipinnate, consisting of a central prickly rachis 20 to 25 cm long with up to 16 pairs of pinnae 5 cm long, each divided into pairs of leaflets 3 to 8 ",Can infer correct Value,['Bipinnate leaf']
97,Ficus ingens,plant type,Jacc,PlantNet,Tree up to 18 m. tall.,Can infer correct Value,"['Tree', 'Shrub']"
98,Euphorbia poissoni,flower shape,Bert,PlantNet,Flowers: Short peduncled yellow/green or greenish with red.,Can infer correct Entity,['Apetal flower']
99,Acacia ataxacantha,leaf apex,Bert,PlantNet,Stamen-filaments 3-6 mm.,None of the above,['Leaf apex sharp corner']
100,Keetia cornelia,plant type,Jacc,PlantNet,"Definitie: whole plant frutescent, bush, shrub.",Can infer correct Value,"['Shrub', 'Bush', 'Liana']"
101,Landolphia heudelotii,latex,Jacc,PlantNet,"The species grows up to 4-12 meters high, it has a beige to brownish colored bark with white exudate and lenticellate stems.",Can infer correct Value,['White latex']
102,Lannea schimperi,leaf shape,Bert,PlantNet,"Petals oblong-ovate, 3 to 5 mm.",None of the above,['Unipinnate leaf with opposite leaflets']
103,Breonadia salicina,leaf shape,Jacc,PlantNet,Arg. leaf extracts.,Can infer correct Entity,['Simple leaf']
105,Lonchocarpus laxiflorus,spine,Jacc,PlantNet,Lonchocarpus is a plant genus in the legume family.,None of the above,['Plant without spines']
106,Albizia lebbeck,leaf shape,Bert,PlantNet,"Leaves moderately large, mostly bipinnate, the pinnae 2-4 pairs opposite on the rachis, the leaflets 4-9 pairs, petiole 2-10 cm.",Can infer correct Value,['Bipinnate leaf']
107,Mangifera indica,trunk and root,Jacc,PlantNet,"Mature trees can attain a height of 40 m or more, with a 60-120 cm trunk and greyish-brown, longitude-fissured bark.",Can infer correct Entity,['Base of trunk straight']
108,Lannea humilis,leaf apex,Bert,PlantNet,"Leaves 5 to 21-foliolate, scattered along the terminal twigs or somewhat crowded on the short floriferous lateral branches, rachis 3 to 15 cm.",Can infer correct Entity,"['Leaf apex with wide corners', 'Rounded leaf apex']"
109,Opilia celtidifolia,flower shape,Bert,PlantNet,"Flower-buds claviform, fasciculate in the axils of the bracts.",Can infer correct Entity,"['Five-petalled flower', 'Apetal flower']"
110,Cordia myxa,fruit,Jacc,PlantNet,"Leaves broadly ovate to subcircular, or sometimes obovate, 3 to 18 cm.",None of the above,"['Drupe, or drupe-like fruit']"
111,Commiphora pedunculata,leaf shape,Bert,PlantNet,Leaves usually crowded at the ends of the yellowish pubescent branchlets.,Can infer correct Entity,['Unipinnate leaf with opposite leaflets']
112,Mimosa pigra,leaf shape,Bert,PlantNet,"Seeds oblong in outline, umbo absent, 4 to 8 mm",None of the above,['Bipinnate leaf']
113,Ficus ingens,plant type,Jacc,PlantNet,Morphology Tree up to 15 m. tall.,Can infer correct Value,"['Tree', 'Shrub']"
114,Euphorbia poissoni,flower shape,Bert,PlantNet,Flowers pale greenish with red stamens.,Can infer correct Entity,['Apetal flower']
115,Acacia ataxacantha,leaf apex,Bert,PlantNet,Leaves: rhachis mostly 5-13 cm.,Can infer correct Entity,['Leaf apex sharp corner']
116,Lannea schimperi,leaf shape,Bert,PlantNet,"Seedling with epigeal germination, first leaves opposite and simple.",Can infer correct Quality,['Unipinnate leaf with opposite leaflets']
117,Breonadia salicina,leaf shape,Jacc,PlantNet,"Leaves in whorls of 3 to 4, leaf blades 8 to 33, 1.8 to 9 cm, lanceolate, subacute to slightly acuminate at the apex, narrowly cuneate at the base, glabrous, at first rather shiny on upper surface, petiole 0.8 to 2.5 cm long, stipule limbs ± triangular, bifid, circumscissile separating into a toothed ring.",Can infer correct Quality,['Simple leaf']
119,Albizia lebbeck,leaf shape,Bert,PlantNet,"Leaves bipinnate, rachis 7.5-15 cm long, glabrous or tomentose, with a large gland 1.2-3.7 cm from the base, stipules c. 3-4 mm long, linear, caducous, tomentose.",Can infer correct Value,['Bipinnate leaf']
120,Mangifera indica,trunk and root,Jacc,PlantNet,It can grow up to 15 to 30 metres tall with a similar crown width and a trunk circumference of more than 3.7 m.,Can infer correct Entity,['Base of trunk straight']
121,Lannea humilis,leaf apex,Bert,PlantNet,"Drupe oblong, somewhat compressed and oblique,",None of the above,"['Leaf apex with wide corners', 'Rounded leaf apex']"
122,Opilia celtidifolia,flower shape,Bert,PlantNet,"Inflorescences 3-4 cm, flowers 5-merous, yellowish-green.",Can infer correct Value,"['Five-petalled flower', 'Apetal flower']"
123,Cordia myxa,fruit,Jacc,PlantNet,It is a light to light brown or even pink drupe.,Can infer correct Value,"['Drupe, or drupe-like fruit']"
124,Commiphora pedunculata,leaf shape,Bert,PlantNet,"Petals densely appressed-pilose outside, up to 6 mm.",None of the above,['Unipinnate leaf with opposite leaflets']
125,Mimosa pigra,leaf shape,Bert,PlantNet,"The leaves are alternately arranged and bipinnately compound, with 8 to14 pairs of pinnae and 25 to 43 pairs of leaflets.",Can infer correct Value,['Bipinnate leaf']
126,Ficus ingens,plant type,Jacc,PlantNet,"Monoecious tree to 15 m, bark grey.",Can infer correct Value,"['Tree', 'Shrub']"
127,Euphorbia poissoni,flower shape,Bert,PlantNet,"Leaves pale green, deciduous.",None of the above,['Apetal flower']
128,Acacia ataxacantha,leaf apex,Bert,PlantNet,"Ovary pubescent, on a stipe longer than itself.",None of the above,['Leaf apex sharp corner']
129,Lannea schimperi,leaf shape,Bert,PlantNet,"Inflorescence a spike-like panicle, several crowded at the top of short branches, male ones up to 22 cm long, female ones up to 8 cm long, with hairy axis.",None of the above,['Unipinnate leaf with opposite leaflets']
131,Albizia lebbeck,leaf shape,Bert,PlantNet,"Leaflets 3-9 pairs, petiolule c. 1 mm long, the lateral leaflets oblong, terminal obovate, obtuse or retuse, glabrous or hairy.",Can infer correct Entity,['Bipinnate leaf']
132,Mangifera indica,trunk and root,Jacc,PlantNet,Noted as reaching 20-30m tall with a 20-30m spread and a trunk diameter of 60- 120cm after 50years or so in its native habitat.,Can infer correct Entity,['Base of trunk straight']
133,Lannea humilis,leaf apex,Bert,PlantNet,"Drupe oblong, somewhat compressed and oblique, 9 to 13 mm.",None of the above,"['Leaf apex with wide corners', 'Rounded leaf apex']"
134,Opilia celtidifolia,flower shape,Bert,PlantNet,"Fleshy disk-glands exposed by the recurving petals, truncate, under 1 mm.",None of the above,"['Five-petalled flower', 'Apetal flower']"
135,Cordia myxa,fruit,Jacc,PlantNet,"Morphology A shrub or tree up to 40 ft. high with stout stem, nearly glabrous branchlets Provided by:.",None of the above,"['Drupe, or drupe-like fruit']"
136,Commiphora pedunculata,leaf shape,Bert,PlantNet,"Leaves olive-green when dry, pubescent or hispidulous, up to 26 cm.",Can infer correct Entity,['Unipinnate leaf with opposite leaflets']
137,Mimosa pigra,leaf shape,Bert,PlantNet,"The leaves are bright green and bipinnate, consisting of a central prickly rachis 20 to 25 cm long with up to 16 pairs of pinnae 5 cm long, each divided into pairs of leaflets 3 to 8 mm long.",Can infer correct Value,['Bipinnate leaf']
138,Euphorbia poissoni,flower shape,Bert,PlantNet,Inflorescence: One or two flowers at the end of a shared short peduncle set on the upper edge of a leaf scar.,Can infer correct Entity,['Apetal flower']
139,Acacia ataxacantha,leaf apex,Bert,PlantNet,Corolla 2·5-3 mm.,None of the above,['Leaf apex sharp corner']
140,Lannea schimperi,leaf shape,Bert,PlantNet,"Flowers in dense bundles, pedicels 1 to 3 mm.",None of the above,['Unipinnate leaf with opposite leaflets']
141,Grewia flavescens,leaf margin,Bert,PlantNet,"Leaves broadlyelliptic, ovate, oblong, obovate or almost circular, 4.5 to 14.5 cm long, 2 to 11 cm wide, obtuse, acute or acuminate at the apex, rounded, truncate or slightly cordate at the base, usually scabrid above, roughly to softly densely pubescent beneath, sometimes ± tomentose, petiole 3 to 12 mm long, stipules 9 to 10 mm long.",Can infer correct Entity,['Margin of toothed leaf']
142,Albizia lebbeck,leaf shape,Bert,PlantNet,"Pinnae 1-4 pairs, 5-20 cm long, often with glands between the upper pairs of leaflets or between all the pairs.",Can infer correct Quality,['Bipinnate leaf']
143,Aiphanes minima,Crown,Jacc,Palm,Aiphanes minima leaf canopy and spines on mature stem.,None of the above,['canopy']
144,Mauritiella armata,Measurement,Bert,Palm,"The fruits are globose to ovoid, 2,5-3,5 cm long and of 2-3 cm of diameter, with epicarp covered by rhomboid brown reddish scales arranged vertically, containing only one ellipsoidal white seed.",Can infer correct Value,['Minimum Fruit Length in Centimeters: 2.5']
145,Syagrus vagans,Measurement,Bert,Palm,The fruit is up to 35mm long by 25mm wide.,Can infer correct Entity,['Minimum Fruit Width in Centimeters: 1.5']
146,Pinanga coronata,Fruit Shape,Bert,Palm,"Fruit obovoid, ellipsoid to ovoid, 11-15 x 6-10 mm, green when youn becoming yellow pink, red to brownish red stigmatic remains apical, epicarp smooth, shiny mesocarp thin, fleshy, endocarp with longitudinal fibers.",Can infer correct Value,['ovoid']
147,Oenocarpus distichus,Fruit Colour,Jacc,Palm,"Fruit ripen quickly, maturing to turning a dark glossy blue or black to shortly after the onset of the first consistent rains of the wet season.",Can infer correct Value,"['black', 'purple']"
